repo,sha,title,author,committer_date,url,decision,signal,review_level,reason
NVIDIA/Megatron-LM,dae135048e9fcb9f75c8fe02ccdd54375711162a,test(moe): enable GroupedMLP fusion in optimizer graph recipe (#7495),Yan Xu,2026-09-21T23:27:54Z,https://github.com/NVIDIA/Megatron-LM/commit/dae135048e9fcb9f75c8fe02ccdd54375711162a,Observe,,title_triage,保留候选；未凭标题接受
NVIDIA/Megatron-LM,1a3c89ec5883999150ff1a57dd1a67a45fd72558,ci: Configure selective unit testing with a repository variable (#7559),Ajay,2026-09-21T23:07:29Z,https://github.com/NVIDIA/Megatron-LM/commit/1a3c89ec5883999150ff1a57dd1a67a45fd72558,Ignore,,title_triage,CI/docs/test/chore 标题初筛；不宣称无运行时影响
NVIDIA/Megatron-LM,c711dc0a7f4f7460045cae18ec2f9ff5f4b92b5e,ci: Configure Transformer Engine CUDA targets for GitHub builds (#7532),Ajay,2026-09-21T21:30:38Z,https://github.com/NVIDIA/Megatron-LM/commit/c711dc0a7f4f7460045cae18ec2f9ff5f4b92b5e,Ignore,,title_triage,CI/docs/test/chore 标题初筛；不宣称无运行时影响
NVIDIA/Megatron-LM,dff2f2e43b0188d98cf1e298926c572d8f688707,Refresh H100 T5 local-norm goldens with full precision (#7439),Yan Xu,2026-09-21T19:55:12Z,https://github.com/NVIDIA/Megatron-LM/commit/dff2f2e43b0188d98cf1e298926c572d8f688707,Observe,,title_triage,保留候选；未凭标题接受
NVIDIA/Megatron-LM,d256386fd29789ef3b9ee5ce74c4b7c10c394c83,Initialize multimodal models from language checkpoints (#7316),Tyler Poon,2026-09-21T18:52:12Z,https://github.com/NVIDIA/Megatron-LM/commit/d256386fd29789ef3b9ee5ce74c4b7c10c394c83,Observe,,title_triage,保留候选；未凭标题接受
NVIDIA/Megatron-LM,5e85e2b27fc29bcf938e8f3b38acfbdecffcc8f3,refactor(training): construct configuration before runtime initialization (#7418),Chen Cui,2026-09-21T18:50:52Z,https://github.com/NVIDIA/Megatron-LM/commit/5e85e2b27fc29bcf938e8f3b38acfbdecffcc8f3,Observe,,title_triage,保留候选；未凭标题接受
NVIDIA/Megatron-LM,8d5555c93a410609f998d778ec03cf10b3aee8ac,[main] moe(perf): Pre-GDR kernel fusion (#5532),Yuzhong Wang,2026-09-21T17:56:17Z,https://github.com/NVIDIA/Megatron-LM/commit/8d5555c93a410609f998d778ec03cf10b3aee8ac,Observe,,title_triage,保留候选；未凭标题接受
NVIDIA/Megatron-LM,bde6af2eb29325649dd71d41e584acb9782706f1,Add speculative decoding support for GDP (#7245),Keshav Santhanam,2026-09-21T15:53:38Z,https://github.com/NVIDIA/Megatron-LM/commit/bde6af2eb29325649dd71d41e584acb9782706f1,Observe,,title_triage,保留候选；未凭标题接受
NVIDIA/Megatron-LM,64d156734918e73238de5cad6d97dcfaa6ec1005,wire mimo non-colcoated cp>1 in the training loop (#7435),Li Ding,2026-09-21T03:26:36Z,https://github.com/NVIDIA/Megatron-LM/commit/64d156734918e73238de5cad6d97dcfaa6ec1005,Observe,,title_triage,保留候选；未凭标题接受
NVIDIA/Megatron-LM,5f4c9ac90602f54717e535f8194753041691ff16,Match vLLM's tool-call parsing in the Qwen3-Coder parser (#7320),Siddharth Singh,2026-09-20T20:51:43Z,https://github.com/NVIDIA/Megatron-LM/commit/5f4c9ac90602f54717e535f8194753041691ff16,Observe,,title_triage,保留候选；未凭标题接受
NVIDIA/Megatron-LM,d2a4bb4cc41fed80a0fa2f25d5b3cc779019609a,chore(docker): AUT-2322 bump DeepEP hybrid-ep pin to 10d4dd73 (#7358),svcnemo-autobot,2026-09-20T20:04:33Z,https://github.com/NVIDIA/Megatron-LM/commit/d2a4bb4cc41fed80a0fa2f25d5b3cc779019609a,Observe,,title_triage,保留候选；未凭标题接受
NVIDIA/Megatron-LM,fb6a123a09f524a2abfca81a78b6478358ca77e0,Update copy-pr-bot.yaml [skip ci],GitHub Actions,2026-09-20T09:04:35Z,https://github.com/NVIDIA/Megatron-LM/commit/fb6a123a09f524a2abfca81a78b6478358ca77e0,Ignore,,title_triage,CI/docs/test/chore 标题初筛；不宣称无运行时影响
areal-project/AReaL,a00e8c22c8b03ace6467d8304dbe707e39c36308,fix(reward): complete PRM fallback and tool-result status handling (#1747),zhangjw,2026-09-22T07:35:50Z,https://github.com/areal-project/AReaL/commit/a00e8c22c8b03ace6467d8304dbe707e39c36308,Observe,,title_triage,保留候选；未凭标题接受
areal-project/AReaL,379abffe31396613533b8e015d7b3e83ef347af6,fix(examples): reject generic GameAgent response failures (#1748),zhangjw,2026-09-22T07:21:39Z,https://github.com/areal-project/AReaL/commit/379abffe31396613533b8e015d7b3e83ef347af6,Observe,,title_triage,保留候选；未凭标题接受
areal-project/AReaL,c74b343c53c785eb620943fcabbd6b8263e28051,feat(engine): support VLM context parallelism (#1672),sitabulaixizawaluduo,2026-09-21T12:57:41Z,https://github.com/areal-project/AReaL/commit/c74b343c53c785eb620943fcabbd6b8263e28051,Read,G3,selected_diff,新接纳机制，详见信号
areal-project/AReaL,caa613c906ba93fa5bc5201150de3d33ebd9c7d3,fix: preserve tool call IDs and message grouping in agent history (#1734),Bo Yang,2026-09-21T10:48:19Z,https://github.com/areal-project/AReaL/commit/caa613c906ba93fa5bc5201150de3d33ebd9c7d3,Observe,,title_triage,保留候选；未凭标题接受
areal-project/AReaL,28c935128dc97321d18f5b632e3252bb234a41d0,feat(inference): support PRM scorers in v2 trajectory export (#1735),Bo Yang,2026-09-21T10:47:38Z,https://github.com/areal-project/AReaL/commit/28c935128dc97321d18f5b632e3252bb234a41d0,Observe,,title_triage,保留候选；未凭标题接受
areal-project/AReaL,aba2f207c742143afd41e058404ec37d6ecced83,feat(engine): support native MTP-only and packed Qwen SFT (#1719),dingzhiqiang,2026-09-21T09:47:19Z,https://github.com/areal-project/AReaL/commit/aba2f207c742143afd41e058404ec37d6ecced83,Read,G4,selected_diff,新接纳机制，详见信号
areal-project/AReaL,b4b1439a1abe1cfbfbfeae1accae92893c5bfda5,fix(utils): honor custom IPv6 probe addresses (#1740),Bnexv Yan,2026-09-21T02:52:25Z,https://github.com/areal-project/AReaL/commit/b4b1439a1abe1cfbfbfeae1accae92893c5bfda5,Observe,,title_triage,保留候选；未凭标题接受
areal-project/AReaL,44233e5cc9a842303c200611404f4cba4f654a7f,fix(utils): treat missing packages as not matching version checks (#1689),Henry Su,2026-09-21T02:50:12Z,https://github.com/areal-project/AReaL/commit/44233e5cc9a842303c200611404f4cba4f654a7f,Observe,,title_triage,保留候选；未凭标题接受
areal-project/AReaL,574bc6a708176c049cab5102b39e706e992f79c4,fix(engine): avoid AWEX idle-loop collective deadlock (#1737),yulangz,2026-09-21T02:30:24Z,https://github.com/areal-project/AReaL/commit/574bc6a708176c049cab5102b39e706e992f79c4,Observe,9/22 A5,selected_diff,已接纳，去重
areal-project/AReaL,5409c9212c6f360b4d4f4f3e0e88fe0754414176,fix(trainer): offload AWEX rollout before auxiliary scoring (#1738),zhangjw,2026-09-21T02:30:15Z,https://github.com/areal-project/AReaL/commit/5409c9212c6f360b4d4f4f3e0e88fe0754414176,Observe,,title_triage,保留候选；未凭标题接受
areal-project/AReaL,11a1907e0ce4ad672ea9427beba8f830f613e6b7,feat(trainer): add MiMo-inspired RL training metrics (#1736),dingzhiqiang,2026-09-20T07:44:11Z,https://github.com/areal-project/AReaL/commit/11a1907e0ce4ad672ea9427beba8f830f613e6b7,Observe,,title_triage,保留候选；未凭标题接受
areal-project/AReaL,3aad281e011d0254d598cff9c3d16be7c7a44312,fix(reward): validate scorer configuration before PRM execution (#1727),zhangjw,2026-09-20T02:33:13Z,https://github.com/areal-project/AReaL/commit/3aad281e011d0254d598cff9c3d16be7c7a44312,Observe,,title_triage,保留候选；未凭标题接受
areal-project/AReaL,ac5614a92327f377c52796f7f0ee7e66f7e94569,fix(proxy): preserve configured chat template defaults (#1725),zhangjw,2026-09-20T02:32:56Z,https://github.com/areal-project/AReaL/commit/ac5614a92327f377c52796f7f0ee7e66f7e94569,Observe,,title_triage,保留候选；未凭标题接受
huggingface/accelerate,e203e1ddf33388e22f4a7985ff3103717c0f9181,Remove duplicate debug key from SageMaker config fixture (#4302),Titus,2026-09-21T12:23:31Z,https://github.com/huggingface/accelerate/commit/e203e1ddf33388e22f4a7985ff3103717c0f9181,Observe,,title_triage,保留候选；未凭标题接受
huggingface/peft,63dfa6e9e3b29ef983ad8cb10c3206bcde53261e,FIX Bug in 1x1 kernel Conv3d layers in LoRA and HiRA (#3777),区梓灏,2026-09-21T15:39:50Z,https://github.com/huggingface/peft/commit/63dfa6e9e3b29ef983ad8cb10c3206bcde53261e,Observe,,title_triage,保留候选；未凭标题接受
huggingface/peft,b815651a5c4ada209ce370c5a723d3951a620a1e,FIX modules_to_save mutating the caller's config (#3770),Vedant Agarwal,2026-09-21T15:37:11Z,https://github.com/huggingface/peft/commit/b815651a5c4ada209ce370c5a723d3951a620a1e,Observe,,title_triage,保留候选；未凭标题接受
huggingface/peft,28514ad6ce1d56f7df5b088bf54505908773e3f4,ENH Avoid duplicated shared tensors in RandLoRA checkpoints (#3714),CoralGarden52,2026-09-21T15:35:28Z,https://github.com/huggingface/peft/commit/28514ad6ce1d56f7df5b088bf54505908773e3f4,Observe,,title_triage,保留候选；未凭标题接受
huggingface/peft,43bcf7ad7e9e031dc7178ffb2dc5dbe515119be9,Method comparison: Add VeLoRA experiment to image-gen (#3764),Sergio Graciá,2026-09-21T15:32:47Z,https://github.com/huggingface/peft/commit/43bcf7ad7e9e031dc7178ffb2dc5dbe515119be9,Observe,,title_triage,保留候选；未凭标题接受
huggingface/peft,c578df0c9aab8de25567f5218703b337c1fb12cb,CI Skip workflows that need repo secrets running on forks (#3732),Ayush Kumar Jha,2026-09-21T15:32:15Z,https://github.com/huggingface/peft/commit/c578df0c9aab8de25567f5218703b337c1fb12cb,Ignore,,title_triage,CI/docs/test/chore 标题初筛；不宣称无运行时影响
huggingface/peft,7cc3eb3941b8d51354d24a4a2297e64c29c8a32e,FIX KappaTune dequantization bug with bnb 8-bit (#3759),Amogh Bhat Nagri,2026-09-21T15:30:28Z,https://github.com/huggingface/peft/commit/7cc3eb3941b8d51354d24a4a2297e64c29c8a32e,Observe,,title_triage,保留候选；未凭标题接受
huggingface/tokenizers,fb11e5128f670c4e6e805ed8cf452a467e6def40,fix(release): max number of keywords is 5 (#2444),Simon Brandeis,2026-09-21T10:55:23Z,https://github.com/huggingface/tokenizers/commit/fb11e5128f670c4e6e805ed8cf452a467e6def40,Observe,,title_triage,保留候选；未凭标题接受
huggingface/tokenizers,8bad46a1440745d305dc557910a64c517a3414e7,fix (#2443),Arthur,2026-09-21T10:11:49Z,https://github.com/huggingface/tokenizers/commit/8bad46a1440745d305dc557910a64c517a3414e7,Observe,,title_triage,保留候选；未凭标题接受
huggingface/tokenizers,a9f3f962a3e0ff2d44b8dffa2280bea14c3656dc,fix: crates.io release env name (#2441),Simon Brandeis,2026-09-21T09:56:05Z,https://github.com/huggingface/tokenizers/commit/a9f3f962a3e0ff2d44b8dffa2280bea14c3656dc,Observe,,title_triage,保留候选；未凭标题接受
huggingface/tokenizers,a1c2cad1b033e20fc9ca64e430e95d670e6266ff,enrich v1 feature list (#2438),Simon Brandeis,2026-09-21T09:43:13Z,https://github.com/huggingface/tokenizers/commit/a1c2cad1b033e20fc9ca64e430e95d670e6266ff,Observe,,title_triage,保留候选；未凭标题接受
huggingface/tokenizers,0917be89c7151bc141ab124c02537fc4aa5170a5,Publish to npm via Trusted Publishing (#2439),Arthur,2026-09-21T09:40:50Z,https://github.com/huggingface/tokenizers/commit/0917be89c7151bc141ab124c02537fc4aa5170a5,Observe,,title_triage,保留候选；未凭标题接受
huggingface/tokenizers,ea787c07bd6475561ce7fe7f63b4922aab760f2f,"Drop fmt/clippy from bitcannon CI, rust.yml already runs them (#2440)",Arthur,2026-09-21T09:38:13Z,https://github.com/huggingface/tokenizers/commit/ea787c07bd6475561ce7fe7f63b4922aab760f2f,Observe,,title_triage,保留候选；未凭标题接受
huggingface/tokenizers,1769c3f87daa5010927a5d30ef64a11ac91f166d,manual (#2436),Arthur,2026-09-21T08:58:22Z,https://github.com/huggingface/tokenizers/commit/1769c3f87daa5010927a5d30ef64a11ac91f166d,Observe,,title_triage,保留候选；未凭标题接受
huggingface/tokenizers,620524052c3b0cc3161f2809fa882b7b9d2e69a3,more cleanup (#2435),Arthur,2026-09-21T05:35:00Z,https://github.com/huggingface/tokenizers/commit/620524052c3b0cc3161f2809fa882b7b9d2e69a3,Observe,,title_triage,保留候选；未凭标题接受
huggingface/tokenizers,50200a37dc4e0d047c9974d57103f951d9185d97,Delete for_the_blogpost.md,Arthur,2026-09-21T05:11:29Z,https://github.com/huggingface/tokenizers/commit/50200a37dc4e0d047c9974d57103f951d9185d97,Observe,,title_triage,保留候选；未凭标题接受
huggingface/tokenizers,f18a8d42caadd469ae1485eb203144c2b2883d89,Rename bitcanon -> bitcannon (#2434),Arthur,2026-09-21T04:58:56Z,https://github.com/huggingface/tokenizers/commit/f18a8d42caadd469ae1485eb203144c2b2883d89,Observe,,title_triage,保留候选；未凭标题接受
huggingface/tokenizers,47e3f23dec33b8cc7a8a6b08304d385c084c1c94,ci(rust-release): publish to crates.io via Trusted Publishing (#2433),Arthur,2026-09-21T04:36:43Z,https://github.com/huggingface/tokenizers/commit/47e3f23dec33b8cc7a8a6b08304d385c084c1c94,Observe,,title_triage,保留候选；未凭标题接受
huggingface/tokenizers,3fe1b852de47da90ba9ca7afd8780e7e969189fe,delete old legacy stuff (#2432),Arthur,2026-09-21T02:47:43Z,https://github.com/huggingface/tokenizers/commit/3fe1b852de47da90ba9ca7afd8780e7e969189fe,Observe,,title_triage,保留候选；未凭标题接受
huggingface/tokenizers,653895a514bab81e75cd1845d7b162cb0414e981,chore(ci): new release workflow (#2425),Simon Brandeis,2026-09-21T01:11:51Z,https://github.com/huggingface/tokenizers/commit/653895a514bab81e75cd1845d7b162cb0414e981,Observe,,title_triage,保留候选；未凭标题接受
huggingface/tokenizers,16c3f6fba4d6439aeb645a8eaf09794597fa3ff5,chore(deps): bump the actions group with 4 updates (#2431),Arthur,2026-09-21T00:01:32Z,https://github.com/huggingface/tokenizers/commit/16c3f6fba4d6439aeb645a8eaf09794597fa3ff5,Observe,,title_triage,保留候选；未凭标题接受
huggingface/tokenizers,1ac2e16208d0a39cd54fffde14d26bd40ada1871,chore(deps): bump the actions group with 4 updates,dependabot[bot],2026-09-20T14:16:00Z,https://github.com/huggingface/tokenizers/commit/1ac2e16208d0a39cd54fffde14d26bd40ada1871,Observe,,title_triage,保留候选；未凭标题接受
huggingface/transformers,8445b13cd24961e47f25a649fb113580f71a8d11,🚨 Speed up detr image processing (#48066),guarin,2026-09-22T07:27:34Z,https://github.com/huggingface/transformers/commit/8445b13cd24961e47f25a649fb113580f71a8d11,Observe,,title_triage,保留候选；未凭标题接受
huggingface/transformers,f4410762062c274fb53471e551e62b377df44cc1,QA: applied ruff rule PLW1514 (#48990),Tarek Ziade,2026-09-22T06:49:19Z,https://github.com/huggingface/transformers/commit/f4410762062c274fb53471e551e62b377df44cc1,Observe,,title_triage,保留候选；未凭标题接受
huggingface/transformers,87d34bfa80aa884bca90c4da79cca18feed90ff6,[generate] Always correctly restrict assisted decoding with max length/eos token  (#48981),Cyril Vallez,2026-09-22T04:17:53Z,https://github.com/huggingface/transformers/commit/87d34bfa80aa884bca90c4da79cca18feed90ff6,Observe,,title_triage,保留候选；未凭标题接受
huggingface/transformers,e2d83fdf9c25a0f6021e90a241263a4a59faa15f,🚨 Remap indexers layer_type (#48974),Cyril Vallez,2026-09-22T04:03:12Z,https://github.com/huggingface/transformers/commit/e2d83fdf9c25a0f6021e90a241263a4a59faa15f,Observe,,title_triage,保留候选；未凭标题接受
huggingface/transformers,a2fc7527b62f360cdbd82d916988543e87f28821,[generate] Simplify candidate generators by removing required `update_candidate_strategy` (#48982),Cyril Vallez,2026-09-22T03:42:53Z,https://github.com/huggingface/transformers/commit/a2fc7527b62f360cdbd82d916988543e87f28821,Observe,,title_triage,保留候选；未凭标题接受
huggingface/transformers,66880ecc9688d67440c42d77d7b64474faf21e18,Let `prefix_allowed_tokens_fn` override model `-inf` and raise an exception on unsatisfiable generation constraints. (#48927),Seokhoon Kang,2026-09-21T17:55:00Z,https://github.com/huggingface/transformers/commit/66880ecc9688d67440c42d77d7b64474faf21e18,Observe,,title_triage,保留候选；未凭标题接受
huggingface/transformers,5bb12bb4e730b2378b018a8dea1c04a25ff5f983,Fix Qwen3OmniMoeIntegrationTest OOM (#48987),Yih-Dar,2026-09-21T17:59:37Z,https://github.com/huggingface/transformers/commit/5bb12bb4e730b2378b018a8dea1c04a25ff5f983,Observe,,title_triage,保留候选；未凭标题接受
huggingface/transformers,13d21d5b636a547c1dfae1905796251dcc6c88de,"Fix SwitchTransformers Top1 router: raw logits, expert capacity accounting, and router losses (#48421)",ゆり,2026-09-21T17:11:01Z,https://github.com/huggingface/transformers/commit/13d21d5b636a547c1dfae1905796251dcc6c88de,Observe,,title_triage,保留候选；未凭标题接受
huggingface/transformers,d94b0f7f25075fe36eb6af95e42bab440b1e7567,[CB] [Major] Upgrade the cache to support different attention types (#47809),Rémi Ouazan,2026-09-21T17:08:11Z,https://github.com/huggingface/transformers/commit/d94b0f7f25075fe36eb6af95e42bab440b1e7567,Observe,,title_triage,保留候选；未凭标题接受
huggingface/transformers,a10365f95226614b2e9b9501e24bba36088c6b4f,Fix vibevoice TTS batched audio index (#48902),Eric Bezzam,2026-09-21T16:40:06Z,https://github.com/huggingface/transformers/commit/a10365f95226614b2e9b9501e24bba36088c6b4f,Observe,,title_triage,保留候选；未凭标题接受
huggingface/transformers,21912efc9da1130ab6e5f97bf3ce0e5b7c118f86,Reduce peak memory in examples_torch CI job (OOM fix) (#48983),Yih-Dar,2026-09-21T15:37:26Z,https://github.com/huggingface/transformers/commit/21912efc9da1130ab6e5f97bf3ce0e5b7c118f86,Ignore,,title_triage,CI/docs/test/chore 标题初筛；不宣称无运行时影响
huggingface/transformers,ae05b6b9ec6373fcda7b89ac3a93eb82324ee71f,Fix typos in DeepseekV4 comments (#48953),Jani arafath,2026-09-21T15:13:41Z,https://github.com/huggingface/transformers/commit/ae05b6b9ec6373fcda7b89ac3a93eb82324ee71f,Observe,,title_triage,保留候选；未凭标题接受
huggingface/transformers,a52f659318fe32cb6b6fc5ae3aec883d5c926eb4,Contract the mamba2 chunk scan with einsum instead of broadcast-then-sum (#48978),Tarek Ziade,2026-09-21T15:11:02Z,https://github.com/huggingface/transformers/commit/a52f659318fe32cb6b6fc5ae3aec883d5c926eb4,Observe,,title_triage,保留候选；未凭标题接受
huggingface/transformers,d53e587669ec639a422ca33f3711b48f24cdf135,Fix image processor class-level size mutation and min_pixels handling (#48916),Shadow6766,2026-09-21T13:37:15Z,https://github.com/huggingface/transformers/commit/d53e587669ec639a422ca33f3711b48f24cdf135,Observe,,title_triage,保留候选；未凭标题接受
huggingface/transformers,e86881ed027d4070c68234706f457ee9f630839e,Add pose estimation keypoint preprocessing to Sapiens2ImageProcessor (#47199),Sainava,2026-09-21T13:32:04Z,https://github.com/huggingface/transformers/commit/e86881ed027d4070c68234706f457ee9f630839e,Observe,,title_triage,保留候选；未凭标题接受
huggingface/transformers,abd76d121e6230e4a1386332863dba4c27d416e0,Better attn default for gguf (#48935),Marc Sun,2026-09-21T12:19:47Z,https://github.com/huggingface/transformers/commit/abd76d121e6230e4a1386332863dba4c27d416e0,Observe,,title_triage,保留候选；未凭标题接受
huggingface/transformers,207fca7b5b9c5f0444dac9abc968be5d429a650d,Skip an unnecessary image copy in the torchvision image normalization path (#48897),Jakub Zakrzewski,2026-09-21T11:32:19Z,https://github.com/huggingface/transformers/commit/207fca7b5b9c5f0444dac9abc968be5d429a650d,Observe,,title_triage,保留候选；未凭标题接受
huggingface/transformers,c210bb39664fbd432d9753bd43393bd53c62f7fe,Fix more stuff (#48979),Raushan Turganbay,2026-09-21T10:09:56Z,https://github.com/huggingface/transformers/commit/c210bb39664fbd432d9753bd43393bd53c62f7fe,Observe,,title_triage,保留候选；未凭标题接受
huggingface/transformers,e138c4d5707b99d78a8cec61053c295b49e42fb7,Fix infeasible cost matrix errors in hugarian matcher losses (#47730),guarin,2026-09-21T09:30:47Z,https://github.com/huggingface/transformers/commit/e138c4d5707b99d78a8cec61053c295b49e42fb7,Observe,,title_triage,保留候选；未凭标题接受
huggingface/transformers,a7d9d9493fcd62a65f0f73f4f0639cee1b90e721,Keep image processor backends in sync on keys and dtypes (#48739),David,2026-09-21T09:22:45Z,https://github.com/huggingface/transformers/commit/a7d9d9493fcd62a65f0f73f4f0639cee1b90e721,Observe,,title_triage,保留候选；未凭标题接受
huggingface/transformers,d67c72935fc5eae6539a6c2fde8326dc9332b5fa,Resolve the Hub revision once per load instead of passing a private _commit_hash around (#47611),Lucain,2026-09-21T02:57:49Z,https://github.com/huggingface/transformers/commit/d67c72935fc5eae6539a6c2fde8326dc9332b5fa,Observe,,title_triage,保留候选；未凭标题接受
huggingface/trl,5bb945c38f319259eddaad7bb3838e4aaf590c49,Raise the pytest-rerunfailures floor to 16.7 so the rerun filter matches wrapped exceptions (#7325),Albert Villanova del Moral,2026-09-22T04:44:34Z,https://github.com/huggingface/trl/commit/5bb945c38f319259eddaad7bb3838e4aaf590c49,Observe,,title_triage,保留候选；未凭标题接受
huggingface/trl,ccdaa0065cee4174d2b4eb60f1856c51e51232ed,Match the out-of-memory message instead of the exception type in the rerun filter (#7292),Albert Villanova del Moral,2026-09-21T13:17:16Z,https://github.com/huggingface/trl/commit/ccdaa0065cee4174d2b4eb60f1856c51e51232ed,Observe,,title_triage,保留候选；未凭标题接受
huggingface/trl,c4e1709c09c4cda35d3649bdfd754fb5bf2a5b75,Run the tests when test data or shipped package data changes (#7283),Albert Villanova del Moral,2026-09-21T12:54:14Z,https://github.com/huggingface/trl/commit/c4e1709c09c4cda35d3649bdfd754fb5bf2a5b75,Ignore,,title_triage,CI/docs/test/chore 标题初筛；不宣称无运行时影响
huggingface/trl,88007089b8e1e1ac7d047930ae78200cdec253dc,Use non identity adapters in the use_adapter tests (#7275),Albert Villanova del Moral,2026-09-21T12:22:27Z,https://github.com/huggingface/trl/commit/88007089b8e1e1ac7d047930ae78200cdec253dc,Observe,,title_triage,保留候选；未凭标题接受
huggingface/trl,2302f9cbce478d1aae2699273a84eb0d87893c8b,Stop depending on the tiny Bloom model in the chat template tests (#7262),Albert Villanova del Moral,2026-09-21T08:47:34Z,https://github.com/huggingface/trl/commit/2302f9cbce478d1aae2699273a84eb0d87893c8b,Observe,,title_triage,保留候选；未凭标题接受
huggingface/trl,9125ad518a28aae15d3328be3d14ed4a2433e656,fix(ci): harden GitHub Actions workflows (#7299) (#7300),hf-security-analysis[bot],2026-09-21T08:07:39Z,https://github.com/huggingface/trl/commit/9125ad518a28aae15d3328be3d14ed4a2433e656,Observe,,title_triage,保留候选；未凭标题接受
huggingface/trl,decb91ff24968b9e69c62fa05ecdba01d2e9447c,"Bump the ""github-actions-and-pre-commit"" group with 2 updates across multiple ecosystems (#7299)",dependabot[bot],2026-09-21T08:07:10Z,https://github.com/huggingface/trl/commit/decb91ff24968b9e69c62fa05ecdba01d2e9447c,Observe,,title_triage,保留候选；未凭标题接受
huggingface/trl,97249f817609286016061ed55109244e018bb48d,Restore ACCELERATE_MIXED_PRECISION between tests (#7321),Albert Villanova del Moral,2026-09-21T07:26:28Z,https://github.com/huggingface/trl/commit/97249f817609286016061ed55109244e018bb48d,Observe,,title_triage,保留候选；未凭标题接受
sgl-project/sglang,790551c38230d025bc8bdff5f26278a2380aed7a,[AMD] Skip full-vocab softmax in EAGLE topk==1 draft on ROCm (#35872),jacky.cheng,2026-09-22T08:57:37Z,https://github.com/sgl-project/sglang/commit/790551c38230d025bc8bdff5f26278a2380aed7a,Observe,,title_triage,保留候选；未凭标题接受
