repo,number,title,author,merged_at,base,merge_sha,url,files_expected,files_received,patches_present,review_level,signal
THUDM/slime,2394,Don't use reloadable pg when not offloading train,zhuzilin,2026-09-19T10:37:58Z,main,5bae5bb7928d65906e24e99f5b5d3f99a4daaf93,https://github.com/THUDM/slime/pull/2394,1,1,1,PR_body_file_list_and_selected_diff,
areal-project/AReaL,1672,feat(engine): support VLM context parallelism,sitabulaixizawaluduo,2026-09-21T12:57:42Z,main,c74b343c53c785eb620943fcabbd6b8263e28051,https://github.com/areal-project/AReaL/pull/1672,7,7,7,PR_body_file_list_and_selected_diff,G3
areal-project/AReaL,1719,feat(engine): support native MTP-only and packed Qwen SFT,dingzhiqiang,2026-09-21T09:47:20Z,main,aba2f207c742143afd41e058404ec37d6ecced83,https://github.com/areal-project/AReaL/pull/1719,19,19,19,PR_body_file_list_and_selected_diff,G4
areal-project/AReaL,1723,fix(engine): adapt colocated AWEX to SGLang scheduler APIs,Le8r0nJames,2026-09-18T06:19:37Z,main,b90011b61ee301e7197564cabe5faff617c693b0,https://github.com/areal-project/AReaL/pull/1723,2,2,2,PR_body_file_list_and_selected_diff,
areal-project/AReaL,1724,fix(examples): retain attributed Arena failures with zero reward,Le8r0nJames,2026-09-18T03:24:58Z,main,c7dbaa7b92e10a80d0a19c0449c14a12e6cd8fba,https://github.com/areal-project/AReaL/pull/1724,3,3,3,PR_body_file_list_and_selected_diff,
areal-project/AReaL,1738,fix(trainer): offload AWEX rollout before auxiliary scoring,Le8r0nJames,2026-09-21T02:30:16Z,main,5409c9212c6f360b4d4f4f3e0e88fe0754414176,https://github.com/areal-project/AReaL/pull/1738,2,2,2,PR_body_file_list_and_selected_diff,
huggingface/transformers,47809,[CB] [Major] Upgrade the cache to support different attention types,remi-or,2026-09-21T17:24:07Z,main,d94b0f7f25075fe36eb6af95e42bab440b1e7567,https://github.com/huggingface/transformers/pull/47809,24,24,24,PR_body_file_list_and_selected_diff,
huggingface/transformers,48421,"Fix SwitchTransformers Top1 router: raw logits, expert capacity accounting, and router losses",yurekami,2026-09-21T17:27:20Z,main,13d21d5b636a547c1dfae1905796251dcc6c88de,https://github.com/huggingface/transformers/pull/48421,3,3,3,PR_body_file_list_and_selected_diff,
huggingface/trl,7017,AsyncGRPO: PEFT/LoRA support with adapter-only vLLM sync,AmineDiro,2026-09-10T17:37:08Z,main,f540773f5250c816e992ae3d35a41142ef3625c0,https://github.com/huggingface/trl/pull/7017,8,8,8,PR_body_file_list_and_selected_diff,
sgl-project/sglang,27265,Feat: Add TensorCast storage as a new HiCache backend,zhou-yuhan,2026-09-22T02:19:05Z,main,15eba3b4643c126ab83e59af3c808b6811075817,https://github.com/sgl-project/sglang/pull/27265,11,11,11,PR_body_file_list_and_selected_diff,
sgl-project/sglang,34012,Add Agentic-Aware Tail-Optimized LRU eviction to the unified radix cache,yl3469,2026-09-17T09:53:00Z,main,1a90ae6727014089e4e90ab81773429e3df08032,https://github.com/sgl-project/sglang/pull/34012,9,9,9,PR_body_file_list_and_selected_diff,
sgl-project/sglang,36700,[PP + HiCache] Add PP Prefetch Tickets for eager cross-stage storage prefetch,huangtingwei9988,2026-09-20T03:19:32Z,main,020703923dba90d531fe8ec472de720584b69f80,https://github.com/sgl-project/sglang/pull/36700,10,10,10,PR_body_file_list_and_selected_diff,G9
sgl-project/sglang,39461,[Router] Abort the engine when a client disconnects mid-request,Kangyan-Zhou,2026-09-22T04:35:57Z,main,2032f3a0716f641bf1e88019adf8dc223052cee3,https://github.com/sgl-project/sglang/pull/39461,15,15,15,PR_body_file_list_and_selected_diff,
sgl-project/sglang,39464,"[Router] Treat an upstream 503/429 as backpressure, not a breaker fault (2/3)",Kangyan-Zhou,2026-09-18T16:46:30Z,main,4e0b56c8119a2673d0bf3bd748b8d9a895af79cb,https://github.com/sgl-project/sglang/pull/39464,2,2,2,PR_body_file_list_and_selected_diff,
sgl-project/sglang,40024,[Scheduler] Add shortest-prefill-first scheduling,Oasis-Git,2026-09-18T04:18:59Z,main,65ef55e2a8c51be0523723fcb98d7138b5839ebb,https://github.com/sgl-project/sglang/pull/40024,6,6,6,PR_body_file_list_and_selected_diff,
sgl-project/sglang,40034,[Benchmark] Add agentic rollout simulator and offline explorer,ByronHsu,2026-09-18T17:06:13Z,main,50a7de47d5972a6f9a1560afe1067fd67d548b81,https://github.com/sgl-project/sglang/pull/40034,13,13,13,PR_body_file_list_and_selected_diff,
sgl-project/sglang,40217,[DeepSeek-V4.1] Bound dense prefill indexer memory,harmya,2026-09-20T21:43:20Z,main,95521da18df4780e9c63f5e2ddd284ecd9ca9b1c,https://github.com/sgl-project/sglang/pull/40217,5,5,5,PR_body_file_list_and_selected_diff,G5
sgl-project/sglang,40256,Preallocate HiCache MHA staging before post-capture KV sizing,cctry,2026-09-21T17:44:29Z,main,7a6191c4b95f269d6108bbf2412c420f42655594,https://github.com/sgl-project/sglang/pull/40256,7,7,7,PR_body_file_list_and_selected_diff,
sgl-project/sglang,40278,[HiCache] TMA-staged host<->device KV transfer kernel (sm_90+),cctry,2026-09-21T17:38:24Z,main,7ad55e43865c3555bad01360743f0a8d92c09677,https://github.com/sgl-project/sglang/pull/40278,7,7,7,PR_body_file_list_and_selected_diff,
sgl-project/sglang,40313,Remove swa and mamba radix cache,ispobock,2026-09-20T08:16:28Z,main,a8a4d86be9f483fabd097350b06b6ae6e6905874,https://github.com/sgl-project/sglang/pull/40313,24,24,24,PR_body_file_list_and_selected_diff,
sgl-project/sglang,40345,"Bringing the parallel runtime up becomes a phase, not a side effect",ch-wan,2026-09-21T19:29:50Z,main,bccf691b221835689450ef601e73fd6ee79c2ac3,https://github.com/sgl-project/sglang/pull/40345,9,9,9,PR_body_file_list_and_selected_diff,
sgl-project/sglang,40391,[sgl-router] Bound streaming lifetimes and release guards on idle disconnect,sherlockwu,2026-09-21T17:07:08Z,main,008470abd80a3c50c95c16aa41ac97d51586819e,https://github.com/sgl-project/sglang/pull/40391,11,11,11,PR_body_file_list_and_selected_diff,
sgl-project/sglang,40658,[DSpark] Fix draft CUDA graph stream explosion,kpham-sgl,2026-09-22T06:05:45Z,main,bc22e1de9e3734d264933eb3b14301768ac7eb92,https://github.com/sgl-project/sglang/pull/40658,1,1,1,PR_body_file_list_and_selected_diff,G8
verl-project/verl,7926,"[trainer, rollout] fix: honor V1 standalone rollout memory budget",zupengwang,2026-09-22T01:54:39Z,main,ace775e87d8765bcdd114aac734ab71da5367a0f,https://github.com/verl-project/verl/pull/7926,8,8,8,PR_body_file_list_and_selected_diff,
verl-project/verl,7927,[tool] fix: separate teacher rollout lanes,tardis-key,2026-09-20T08:17:33Z,main,2d98ec778255f3007e7b276d9a2bf877c463ec70,https://github.com/verl-project/verl/pull/7927,5,5,5,PR_body_file_list_and_selected_diff,
verl-project/verl,7948,[megatron] fix: preserve bucketed VLM THD lengths,qinyi810,2026-09-22T02:10:27Z,main,8e03c039f9a70750490c93196b759b332fc029fd,https://github.com/verl-project/verl/pull/7948,4,4,4,PR_body_file_list_and_selected_diff,G3
vllm-project/vllm,53423,[Feature] Add first-class KV hints request envelope for programmatic KV management,karen-sy,2026-09-21T16:56:12Z,main,986e217158a9ed54eca8307c6bb9abac7c5b2278,https://github.com/vllm-project/vllm/pull/53423,30,30,30,PR_body_file_list_and_selected_diff,G6
vllm-project/vllm,54581,[Bugfix][KV Connector] Propagate cache reset failure during sleep,Ronnie-Rui,2026-09-21T01:25:02Z,main,11852548518b13c9a00a4e73dadd19d44e221e2b,https://github.com/vllm-project/vllm/pull/54581,1,1,1,PR_body_file_list_and_selected_diff,
vllm-project/vllm,56734,[Bugfix][Spec Decode] Stop dummy draft decode steps from writing KV through stale block-table rows,ivanium,2026-09-21T01:06:25Z,main,d2983f2f163249acbe3053c073cb9830290984a0,https://github.com/vllm-project/vllm/pull/56734,5,5,5,PR_body_file_list_and_selected_diff,G8
vllm-project/vllm,57389,[Bugfix][NIXL] Fix DCP pulls across MLA cache regions,LucasWilkinson,2026-09-21T15:57:50Z,main,8c0825090df8b7939a92ff22b02bc7d03cb3605a,https://github.com/vllm-project/vllm/pull/57389,3,3,3,PR_body_file_list_and_selected_diff,
vllm-project/vllm,57428,[Kernel][DSV4.1] Fuse MXFP8 wo_b GEMM with sequence-parallel reduce-scatter,gcanlin,2026-09-22T08:07:18Z,main,f92b78f6ef9c9b28f60668da77af5b65645b1a45,https://github.com/vllm-project/vllm/pull/57428,18,18,18,PR_body_file_list_and_selected_diff,
vllm-project/vllm,57603,[Perf][DSV4.1] Overlap mHC coefficients for small TP batches,WoosukKwon,2026-09-21T00:33:17Z,main,9b49f92344312c41ad61e05282c8e6a2d9bafb7f,https://github.com/vllm-project/vllm/pull/57603,6,6,6,PR_body_file_list_and_selected_diff,
vllm-project/vllm,57643,[Perf][DSV4.1] Fuse TP all-reduce with mHC input preparation,WoosukKwon,2026-09-21T03:28:07Z,main,9a70c233cd5d3ef3b14d79c582a6f9ddfa03cf80,https://github.com/vllm-project/vllm/pull/57643,9,9,9,PR_body_file_list_and_selected_diff,
vllm-project/vllm,57811,[BUGFIX][HY4]  Record indexer completion event for full CUDA graph capture,jeejeelee,2026-09-21T02:59:12Z,main,86ce4d10e290e6179e6f1d5ee392f582814d5747,https://github.com/vllm-project/vllm/pull/57811,1,1,1,PR_body_file_list_and_selected_diff,
vllm-project/vllm,57874,[Bugfix][DSV4.1] Restrict mHC overlap to full CUDA graphs,WoosukKwon,2026-09-21T08:17:00Z,main,67513c8b67e2439934ce7c0ba5a18c2e859f5c53,https://github.com/vllm-project/vllm/pull/57874,4,4,4,PR_body_file_list_and_selected_diff,
vllm-project/vllm,58065,[Spec Decode] Enable async scheduling for DFlash,majunze2001,2026-09-22T05:05:45Z,main,0961bbae2894d574be790d219651824eb199318e,https://github.com/vllm-project/vllm/pull/58065,2,2,2,PR_body_file_list_and_selected_diff,
