repo,number,title,author,merged_at,base,merge_sha,url,signal
NVIDIA-NeMo/RL,4206,fix(vllm): strip staged token arrays from capture responses,pthombre,2026-09-20T21:01:02Z,main,612d5274059c821dc09c2c90767b546b6f2d50b5,https://github.com/NVIDIA-NeMo/RL/pull/4206,
NVIDIA/Megatron-LM,7559,ci: Configure selective unit testing with a repository variable,balasaajay,2026-09-22T08:32:28Z,main,1a3c89ec5883999150ff1a57dd1a67a45fd72558,https://github.com/NVIDIA/Megatron-LM/pull/7559,
NVIDIA/Megatron-LM,7495,test(moe): enable GroupedMLP fusion in optimizer graph recipe,Connor-XY,2026-09-22T08:32:28Z,main,dae135048e9fcb9f75c8fe02ccdd54375711162a,https://github.com/NVIDIA/Megatron-LM/pull/7495,
NVIDIA/Megatron-LM,7532,ci: Configure Transformer Engine CUDA targets for GitHub builds,balasaajay,2026-09-22T04:26:56Z,main,c711dc0a7f4f7460045cae18ec2f9ff5f4b92b5e,https://github.com/NVIDIA/Megatron-LM/pull/7532,
NVIDIA/Megatron-LM,7418,refactor(training): construct configuration before runtime initialization,cuichenx,2026-09-21T23:08:52Z,main,5e85e2b27fc29bcf938e8f3b38acfbdecffcc8f3,https://github.com/NVIDIA/Megatron-LM/pull/7418,
NVIDIA/Megatron-LM,7439,Refresh H100 T5 local-norm goldens with full precision,Connor-XY,2026-09-22T02:49:26Z,main,dff2f2e43b0188d98cf1e298926c572d8f688707,https://github.com/NVIDIA/Megatron-LM/pull/7439,
NVIDIA/Megatron-LM,7316,Initialize multimodal models from language checkpoints,tylerpoon,2026-09-22T01:11:10Z,main,d256386fd29789ef3b9ee5ce74c4b7c10c394c83,https://github.com/NVIDIA/Megatron-LM/pull/7316,
NVIDIA/Megatron-LM,5532,[main] moe(perf): Pre-GDR kernel fusion,yuzhongw-nvidia,2026-09-21T21:05:58Z,main,8d5555c93a410609f998d778ec03cf10b3aee8ac,https://github.com/NVIDIA/Megatron-LM/pull/5532,
NVIDIA/Megatron-LM,7245,Add speculative decoding support for GDP,santhnm2,2026-09-21T16:59:00Z,main,bde6af2eb29325649dd71d41e584acb9782706f1,https://github.com/NVIDIA/Megatron-LM/pull/7245,
NVIDIA/Megatron-LM,6613,[DEV] fix(gdn): let deterministic_mode also replace the q/k L2 norm,xuwchen,2026-09-21T13:22:00Z,dev,0e704edb1f4175edfafd3cd1485b7611cfd063bc,https://github.com/NVIDIA/Megatron-LM/pull/6613,
NVIDIA/Megatron-LM,6980,[Dev] Fix DSA indexer metric accounting under Dynamic CP and CUDA Graph capture,buptzyb,2026-09-21T07:02:21Z,dev,c630b477bf783c72c2149beacf8b97c19c387f05,https://github.com/NVIDIA/Megatron-LM/pull/6980,
NVIDIA/Megatron-LM,7435,wire mimo non-colcoated cp>1 in the training loop,liding-nv,2026-09-21T04:42:25Z,main,64d156734918e73238de5cad6d97dcfaa6ec1005,https://github.com/NVIDIA/Megatron-LM/pull/7435,
NVIDIA/Megatron-LM,7062,[Dev] Add combined 1F1B schedule-aware tensor release,lhb8125,2026-09-21T04:34:28Z,dev,7b2991228bb207571e45a268cf84927c46c75fd1,https://github.com/NVIDIA/Megatron-LM/pull/7062,
NVIDIA/Megatron-LM,7320,Match vLLM's tool-call parsing in the Qwen3-Coder parser,sidsingh-nvidia,2026-09-20T23:33:27Z,main,5f4c9ac90602f54717e535f8194753041691ff16,https://github.com/NVIDIA/Megatron-LM/pull/7320,
NVIDIA/Megatron-LM,7358,chore(docker): AUT-2322 bump DeepEP hybrid-ep pin to 10d4dd73,svcnemo-autobot,2026-09-20T22:39:21Z,main,d2a4bb4cc41fed80a0fa2f25d5b3cc779019609a,https://github.com/NVIDIA/Megatron-LM/pull/7358,
NVIDIA/Megatron-LM,7157,[Dev] fix: scale DSA indexer scoring backward for sparse indexer loss in FLOPs,niyunsheng,2026-09-20T15:37:38Z,dev,fed0a08175e9b66af82cca632358209aeaccff6a,https://github.com/NVIDIA/Megatron-LM/pull/7157,
NVIDIA/Megatron-LM,6173,[Dev] Account for Qwen3.5 vision encoder FLOPs,BestJuly,2026-09-20T06:57:40Z,dev,d909db3a6302a0423df94969e7283c94a1c06e14,https://github.com/NVIDIA/Megatron-LM/pull/6173,
NVIDIA/Megatron-LM,7483,[dev] Derive the fixed packed P2P shape in the interleaved schedule,HaochenYuan,2026-09-20T05:36:23Z,dev,d1ab53b7ab7f0a2b2cb1160a08dd6b5e1fe707b2,https://github.com/NVIDIA/Megatron-LM/pull/7483,
NVIDIA/Megatron-LM,7388,[dev] Compact CP CSA compressor projections instead of hidden states,hxbai,2026-09-20T04:29:07Z,dev,0fa0ea2c202a742474357fdd5b5bfbfa0976be69,https://github.com/NVIDIA/Megatron-LM/pull/7388,
areal-project/AReaL,1747,fix(reward): complete PRM fallback and tool-result status handling,Le8r0nJames,2026-09-22T07:35:50Z,main,a00e8c22c8b03ace6467d8304dbe707e39c36308,https://github.com/areal-project/AReaL/pull/1747,
areal-project/AReaL,1748,fix(examples): reject generic GameAgent response failures,Le8r0nJames,2026-09-22T07:21:39Z,main,379abffe31396613533b8e015d7b3e83ef347af6,https://github.com/areal-project/AReaL/pull/1748,
areal-project/AReaL,1672,feat(engine): support VLM context parallelism,sitabulaixizawaluduo,2026-09-21T12:57:42Z,main,c74b343c53c785eb620943fcabbd6b8263e28051,https://github.com/areal-project/AReaL/pull/1672,G3
areal-project/AReaL,1735,feat(inference): support PRM scorers in v2 trajectory export,harooos,2026-09-21T10:47:39Z,main,28c935128dc97321d18f5b632e3252bb234a41d0,https://github.com/areal-project/AReaL/pull/1735,
areal-project/AReaL,1734,fix: preserve tool call IDs and message grouping in agent history,harooos,2026-09-21T10:48:19Z,main,caa613c906ba93fa5bc5201150de3d33ebd9c7d3,https://github.com/areal-project/AReaL/pull/1734,
areal-project/AReaL,1719,feat(engine): support native MTP-only and packed Qwen SFT,dingzhiqiang,2026-09-21T09:47:20Z,main,aba2f207c742143afd41e058404ec37d6ecced83,https://github.com/areal-project/AReaL/pull/1719,G4
areal-project/AReaL,1740,fix(utils): honor custom IPv6 probe addresses,Andrew9603,2026-09-21T02:52:26Z,main,b4b1439a1abe1cfbfbfeae1accae92893c5bfda5,https://github.com/areal-project/AReaL/pull/1740,
areal-project/AReaL,1689,fix(utils): treat missing packages as not matching version checks,hsusul,2026-09-21T02:50:12Z,main,44233e5cc9a842303c200611404f4cba4f654a7f,https://github.com/areal-project/AReaL/pull/1689,
areal-project/AReaL,1737,fix(engine): avoid AWEX idle-loop collective deadlock,yulangz,2026-09-21T02:30:24Z,main,574bc6a708176c049cab5102b39e706e992f79c4,https://github.com/areal-project/AReaL/pull/1737,
areal-project/AReaL,1738,fix(trainer): offload AWEX rollout before auxiliary scoring,Le8r0nJames,2026-09-21T02:30:16Z,main,5409c9212c6f360b4d4f4f3e0e88fe0754414176,https://github.com/areal-project/AReaL/pull/1738,
areal-project/AReaL,1736,feat(trainer): add MiMo-inspired RL training metrics,dingzhiqiang,2026-09-20T07:44:12Z,main,11a1907e0ce4ad672ea9427beba8f830f613e6b7,https://github.com/areal-project/AReaL/pull/1736,
areal-project/AReaL,1727,fix(reward): validate scorer configuration before PRM execution,Le8r0nJames,2026-09-20T02:33:14Z,main,3aad281e011d0254d598cff9c3d16be7c7a44312,https://github.com/areal-project/AReaL/pull/1727,
areal-project/AReaL,1725,fix(proxy): preserve configured chat template defaults,Le8r0nJames,2026-09-20T02:32:56Z,main,ac5614a92327f377c52796f7f0ee7e66f7e94569,https://github.com/areal-project/AReaL/pull/1725,
huggingface/accelerate,4302,Remove duplicate debug key from SageMaker config fixture,Titus-von-Koeller,2026-09-21T12:23:31Z,main,e203e1ddf33388e22f4a7985ff3103717c0f9181,https://github.com/huggingface/accelerate/pull/4302,
huggingface/kernels,836,fix(ci): harden GitHub Actions workflows (#835),hf-security-analysis[bot],2026-09-21T09:51:11Z,dependabot/github_actions/actions-2436af7829,c2d5bf6fd1ac1de89f1dab56f70291b70c211034,https://github.com/huggingface/kernels/pull/836,
huggingface/peft,3777,FIX get_delta_weight for pointwise Conv3d layers in LoRA and HiRA,Nicholas022400701,2026-09-21T15:39:51Z,main,63dfa6e9e3b29ef983ad8cb10c3206bcde53261e,https://github.com/huggingface/peft/pull/3777,
huggingface/peft,3770,fix: stop task-type PeftModels from mutating the caller's modules_to_save,Vedant-Agarwal,2026-09-21T15:37:12Z,main,b815651a5c4ada209ce370c5a723d3951a620a1e,https://github.com/huggingface/peft/pull/3770,
huggingface/peft,3714,Avoid duplicated shared projections in RandLoRA adapter checkpoints,CoralGarden52,2026-09-21T15:35:28Z,main,28514ad6ce1d56f7df5b088bf54505908773e3f4,https://github.com/huggingface/peft/pull/3714,
huggingface/peft,3764,Add VeLoRA experiment (LoRA r=32 + velora_config) to image-gen benchmark,Sergasgr,2026-09-21T15:32:48Z,main,43bcf7ad7e9e031dc7178ffb2dc5dbe515119be9,https://github.com/huggingface/peft/pull/3764,
huggingface/peft,3732,CI Skip workflows that need repo secrets when running on forks,Ayushraj06-bit,2026-09-21T15:32:15Z,main,c578df0c9aab8de25567f5218703b337c1fb12cb,https://github.com/huggingface/peft/pull/3732,
huggingface/peft,3759,FIX KappaTune does not dequantize bitsandbytes 8-bit weights,amogh-nagri-11,2026-09-21T15:30:28Z,main,7cc3eb3941b8d51354d24a4a2297e64c29c8a32e,https://github.com/huggingface/peft/pull/3759,
huggingface/tokenizers,2444,fix(release): max number of keywords is 5,SBrandeis,2026-09-21T10:55:24Z,main,fb11e5128f670c4e6e805ed8cf452a467e6def40,https://github.com/huggingface/tokenizers/pull/2444,
huggingface/tokenizers,2443,fix,ArthurZucker,2026-09-21T10:11:50Z,main,8bad46a1440745d305dc557910a64c517a3414e7,https://github.com/huggingface/tokenizers/pull/2443,
huggingface/tokenizers,2441,fix: crates.io release env name,SBrandeis,2026-09-21T09:56:05Z,main,a9f3f962a3e0ff2d44b8dffa2280bea14c3656dc,https://github.com/huggingface/tokenizers/pull/2441,
huggingface/tokenizers,2438,enrich v1 feature list,SBrandeis,2026-09-21T09:43:14Z,main,a1c2cad1b033e20fc9ca64e430e95d670e6266ff,https://github.com/huggingface/tokenizers/pull/2438,
huggingface/tokenizers,2439,Publish to npm via Trusted Publishing,ArthurZucker,2026-09-21T09:40:51Z,main,0917be89c7151bc141ab124c02537fc4aa5170a5,https://github.com/huggingface/tokenizers/pull/2439,
huggingface/tokenizers,2440,"Drop fmt/clippy from bitcannon CI, rust.yml already runs them",ArthurZucker,2026-09-21T09:38:14Z,main,ea787c07bd6475561ce7fe7f63b4922aab760f2f,https://github.com/huggingface/tokenizers/pull/2440,
huggingface/tokenizers,2436,manual,ArthurZucker,2026-09-21T08:58:23Z,main,1769c3f87daa5010927a5d30ef64a11ac91f166d,https://github.com/huggingface/tokenizers/pull/2436,
huggingface/tokenizers,2435,more cleanup,ArthurZucker,2026-09-21T05:35:01Z,main,620524052c3b0cc3161f2809fa882b7b9d2e69a3,https://github.com/huggingface/tokenizers/pull/2435,
huggingface/tokenizers,2434,Rename bitcanon -> bitcannon,ArthurZucker,2026-09-21T04:58:56Z,main,f18a8d42caadd469ae1485eb203144c2b2883d89,https://github.com/huggingface/tokenizers/pull/2434,
huggingface/tokenizers,2433,ci(rust-release): publish to crates.io via Trusted Publishing,ArthurZucker,2026-09-21T04:36:44Z,main,47e3f23dec33b8cc7a8a6b08304d385c084c1c94,https://github.com/huggingface/tokenizers/pull/2433,
huggingface/tokenizers,2432,delete old legacy stuff,ArthurZucker,2026-09-21T02:47:43Z,main,3fe1b852de47da90ba9ca7afd8780e7e969189fe,https://github.com/huggingface/tokenizers/pull/2432,
huggingface/tokenizers,2425,chore(ci): new release workflow,SBrandeis,2026-09-21T01:11:52Z,main,653895a514bab81e75cd1845d7b162cb0414e981,https://github.com/huggingface/tokenizers/pull/2425,
huggingface/tokenizers,2431,chore(deps): bump the actions group with 4 updates,dependabot[bot],2026-09-21T00:01:33Z,main,16c3f6fba4d6439aeb645a8eaf09794597fa3ff5,https://github.com/huggingface/tokenizers/pull/2431,
huggingface/transformers,48066,🚨 Speed up detr image processing,guarin,2026-09-22T07:44:49Z,main,8445b13cd24961e47f25a649fb113580f71a8d11,https://github.com/huggingface/transformers/pull/48066,
huggingface/transformers,48990,QA: applied ruff rule PLW1514,tarekziade,2026-09-22T07:00:54Z,main,f4410762062c274fb53471e551e62b377df44cc1,https://github.com/huggingface/transformers/pull/48990,
huggingface/transformers,48981,[generate] Always correctly restrict assisted decoding with max length/eos token ,Cyrilvallez,2026-09-22T04:17:54Z,main,87d34bfa80aa884bca90c4da79cca18feed90ff6,https://github.com/huggingface/transformers/pull/48981,
huggingface/transformers,48974,🚨 Remap indexers layer_type,Cyrilvallez,2026-09-22T04:03:13Z,main,e2d83fdf9c25a0f6021e90a241263a4a59faa15f,https://github.com/huggingface/transformers/pull/48974,
huggingface/transformers,48982,[generate] Simplify candidate generators by removing required `update_candidate_strategy`,Cyrilvallez,2026-09-22T03:42:54Z,main,a2fc7527b62f360cdbd82d916988543e87f28821,https://github.com/huggingface/transformers/pull/48982,
huggingface/transformers,48927,Let `prefix_allowed_tokens_fn` override model `-inf` and raise an exception on unsatisfiable generation constraints.,ksh108405,2026-09-21T18:10:38Z,main,66880ecc9688d67440c42d77d7b64474faf21e18,https://github.com/huggingface/transformers/pull/48927,
huggingface/transformers,48987,Fix Qwen3OmniMoeIntegrationTest OOM during from_pretrained,ydshieh,2026-09-21T17:59:38Z,main,5bb12bb4e730b2378b018a8dea1c04a25ff5f983,https://github.com/huggingface/transformers/pull/48987,
huggingface/transformers,48421,"Fix SwitchTransformers Top1 router: raw logits, expert capacity accounting, and router losses",yurekami,2026-09-21T17:27:20Z,main,13d21d5b636a547c1dfae1905796251dcc6c88de,https://github.com/huggingface/transformers/pull/48421,
huggingface/transformers,47809,[CB] [Major] Upgrade the cache to support different attention types,remi-or,2026-09-21T17:24:07Z,main,d94b0f7f25075fe36eb6af95e42bab440b1e7567,https://github.com/huggingface/transformers/pull/47809,
huggingface/transformers,48902,Fix vibevoice TTS batched audio index,ebezzam,2026-09-21T16:48:06Z,main,a10365f95226614b2e9b9501e24bba36088c6b4f,https://github.com/huggingface/transformers/pull/48902,
huggingface/transformers,48983,Reduce peak memory in examples_torch CI job (OOM fix),ydshieh,2026-09-21T15:53:05Z,main,21912efc9da1130ab6e5f97bf3ce0e5b7c118f86,https://github.com/huggingface/transformers/pull/48983,
huggingface/transformers,48953,Fix typos in DeepseekV4 comments,Janiarafath,2026-09-21T15:23:11Z,main,ae05b6b9ec6373fcda7b89ac3a93eb82324ee71f,https://github.com/huggingface/transformers/pull/48953,
huggingface/transformers,48978,Contract the mamba2 chunk scan with einsum instead of broadcast-then-sum,tarekziade,2026-09-21T15:18:40Z,main,a52f659318fe32cb6b6fc5ae3aec883d5c926eb4,https://github.com/huggingface/transformers/pull/48978,
huggingface/transformers,48916,Fix image processor class-level size mutation and min_pixels handling,Gracy769,2026-09-21T13:52:34Z,main,d53e587669ec639a422ca33f3711b48f24cdf135,https://github.com/huggingface/transformers/pull/48916,
huggingface/transformers,47199,Add pose estimation keypoint preprocessing to Sapiens2ImageProcessor,Sainava,2026-09-21T13:47:45Z,main,e86881ed027d4070c68234706f457ee9f630839e,https://github.com/huggingface/transformers/pull/47199,
huggingface/transformers,48935,Better attn default for gguf,SunMarc,2026-09-21T12:32:48Z,main,abd76d121e6230e4a1386332863dba4c27d416e0,https://github.com/huggingface/transformers/pull/48935,
huggingface/transformers,48897,Skip an unnecessary image copy in the torchvision image normalization path,jzakrzew,2026-09-21T11:46:40Z,main,207fca7b5b9c5f0444dac9abc968be5d429a650d,https://github.com/huggingface/transformers/pull/48897,
huggingface/transformers,48979,Fix more stuff,zucchini-nlp,2026-09-21T10:21:52Z,main,c210bb39664fbd432d9753bd43393bd53c62f7fe,https://github.com/huggingface/transformers/pull/48979,
huggingface/transformers,47730,Fix infeasible cost matrix errors in hugarian matcher losses,guarin,2026-09-21T09:46:05Z,main,e138c4d5707b99d78a8cec61053c295b49e42fb7,https://github.com/huggingface/transformers/pull/47730,
huggingface/transformers,48739,Keep image processor backends in sync on keys and dtypes,yupengtang,2026-09-21T09:36:11Z,main,a7d9d9493fcd62a65f0f73f4f0639cee1b90e721,https://github.com/huggingface/transformers/pull/48739,
huggingface/transformers,47611,Resolve the Hub revision once per load instead of passing a private _commit_hash around,Wauplin,2026-09-21T02:57:50Z,main,d67c72935fc5eae6539a6c2fde8326dc9332b5fa,https://github.com/huggingface/transformers/pull/47611,
huggingface/trl,7325,Raise the pytest-rerunfailures floor to 16.7 so the rerun filter matches wrapped exceptions,albertvillanova,2026-09-22T04:44:35Z,main,5bb945c38f319259eddaad7bb3838e4aaf590c49,https://github.com/huggingface/trl/pull/7325,
huggingface/trl,7292,Match the out-of-memory message instead of the exception type in the rerun filter,albertvillanova,2026-09-21T13:17:17Z,main,ccdaa0065cee4174d2b4eb60f1856c51e51232ed,https://github.com/huggingface/trl/pull/7292,
huggingface/trl,7283,Run the tests when test data or shipped package data changes,albertvillanova,2026-09-21T12:54:15Z,main,c4e1709c09c4cda35d3649bdfd754fb5bf2a5b75,https://github.com/huggingface/trl/pull/7283,
huggingface/trl,7275,Use non identity adapters in the use_adapter tests,albertvillanova,2026-09-21T12:22:28Z,main,88007089b8e1e1ac7d047930ae78200cdec253dc,https://github.com/huggingface/trl/pull/7275,
huggingface/trl,7314,fix(ci): harden GitHub Actions workflows (#7313),hf-security-analysis[bot],2026-09-21T09:26:12Z,enforce-issue-assignment,bbc50ff12df61ffdd77187766909dc568b028d24,https://github.com/huggingface/trl/pull/7314,
huggingface/trl,7262,Stop depending on the tiny Bloom model in the chat template tests,albertvillanova,2026-09-21T08:47:35Z,main,2302f9cbce478d1aae2699273a84eb0d87893c8b,https://github.com/huggingface/trl/pull/7262,
huggingface/trl,7300,fix(ci): harden GitHub Actions workflows (#7299),hf-security-analysis[bot],2026-09-21T08:07:39Z,main,9125ad518a28aae15d3328be3d14ed4a2433e656,https://github.com/huggingface/trl/pull/7300,
huggingface/trl,7299,"Bump the ""github-actions-and-pre-commit"" group with 2 updates across multiple ecosystems",dependabot[bot],2026-09-21T08:07:10Z,main,decb91ff24968b9e69c62fa05ecdba01d2e9447c,https://github.com/huggingface/trl/pull/7299,
huggingface/trl,7321,Restore ACCELERATE_MIXED_PRECISION between tests,albertvillanova,2026-09-21T07:26:28Z,main,97249f817609286016061ed55109244e018bb48d,https://github.com/huggingface/trl/pull/7321,
sgl-project/sglang,35872,[AMD] Skip full-vocab softmax in EAGLE topk==1 draft on ROCm,yichiche,2026-09-22T08:57:38Z,main,790551c38230d025bc8bdff5f26278a2380aed7a,https://github.com/sgl-project/sglang/pull/35872,
sgl-project/sglang,39503,[AMD] Use exact CU share for gfx950 segment-plan headroom,chuyeh,2026-09-22T08:50:00Z,main,c2f14bfbc4e82ade955c4dacfaefd8e0a19abddf,https://github.com/sgl-project/sglang/pull/39503,
sgl-project/sglang,40111,avoid host sync in DSpark prefill slot expansion,inkcherry,2026-09-22T08:20:50Z,main,367e3700cfb6a0b03b2fa41a4524febf18ec1f15,https://github.com/sgl-project/sglang/pull/40111,
sgl-project/sglang,39525,[AMD] Fix deferred Kimi-K3 forget gate in fused in-projection,tomjen12,2026-09-22T08:07:26Z,main,d00adfd19cb6ea56de2f2fe814924f0c9a1664f8,https://github.com/sgl-project/sglang/pull/39525,
sgl-project/sglang,39902,[AMD] Pack Qwen3.5 GDN input projections on ROCm,zijiecode,2026-09-22T07:52:41Z,main,6412ad8c6481db616cac8b7095fe336bcd708562,https://github.com/sgl-project/sglang/pull/39902,
sgl-project/sglang,39973,[PD] Validate Mooncake EFA allocator compatibility,nvpohanh,2026-09-22T07:12:30Z,main,771c9d782d9ecf0324e70b7f5a08c32644d652c5,https://github.com/sgl-project/sglang/pull/39973,
sgl-project/sglang,39312,[observability] Fix negative queue_time for retracted requests,surajm20061998,2026-09-22T07:08:02Z,main,1815e490de39707d4e5f37af9f1203bc761ca87f,https://github.com/sgl-project/sglang/pull/39312,
sgl-project/sglang,40647,[DOC] Update quickstart guide to use `sglang serve` for launching the server,jshn9515,2026-09-22T07:00:36Z,main,c948114d58dcd192ec32c81cd88ae12bbc5179dc,https://github.com/sgl-project/sglang/pull/40647,
sgl-project/sglang,39066,[AMD][Kimi-K3] Fix deferred KDA gate projection and update DCP cookbook,kevin-mii,2026-09-22T06:35:13Z,main,8ac19cc19f8ade51ed203478f17c9a09c706d730,https://github.com/sgl-project/sglang/pull/39066,
sgl-project/sglang,40685,[KDA] Fix missing beta sigmoid in PTX prefill,mmangkad,2026-09-22T06:24:39Z,main,4c81cd1b0904f8f7778e87c0974b464aab21b74c,https://github.com/sgl-project/sglang/pull/40685,
sgl-project/sglang,40658,[DSpark] Fix draft CUDA graph stream explosion,kpham-sgl,2026-09-22T06:05:45Z,main,bc22e1de9e3734d264933eb3b14301768ac7eb92,https://github.com/sgl-project/sglang/pull/40658,G8
sgl-project/sglang,40684,[router] Decode tagged-map KV events alongside legacy tagged arrays,ShangmingCai,2026-09-22T06:00:31Z,combine/router-admission-http2-loadaware,244acebeb4156afe464c5d607b3adfb39d7d8722,https://github.com/sgl-project/sglang/pull/40684,
sgl-project/sglang,40497,[Docs] GLM-5.3/5.3-Flash cookbooks: enable reasoning/tool-call parsers by default via auto,b8zhong,2026-09-22T05:54:09Z,main,a0781f271462121a57f27284fc55c7fe46ba7124,https://github.com/sgl-project/sglang/pull/40497,
sgl-project/sglang,31446,[HiSparse] Add MHA hisparse support for MiniMax M3,bingps,2026-09-22T05:28:03Z,main,04c0913434c42e219838c2cce7a9781c1a455b7c,https://github.com/sgl-project/sglang/pull/31446,
sgl-project/sglang,38545,[AMD] [GLM-5.3-Flash Day 0] Route mHC through AITER on gfx950,Raiden-Makoto,2026-09-22T05:24:30Z,main,095e45100b3b78e00464108becad1d58c45037c3,https://github.com/sgl-project/sglang/pull/38545,
sgl-project/sglang,39965,[AMD] Update ROCm AITER pin to acf8fdf9,kangwangamd,2026-09-22T05:01:18Z,main,264da633191d69cd2087a08154c6155caa2bb3be,https://github.com/sgl-project/sglang/pull/39965,
sgl-project/sglang,40651,[LFM2-VL] Add DSpark speculative decoding,tugot17,2026-09-22T04:49:51Z,main,b01961e295db7ece61956ef13672feb77774c18e,https://github.com/sgl-project/sglang/pull/40651,
sgl-project/sglang,40628,[ModelOpt][PP] Keep BF16 shared experts out of the NVFP4 fusion so TP1 pipeline stages can load,YAMY1234,2026-09-22T04:45:59Z,main,9b59fc5db514e3748a0f6bb4ac90128602d09c87,https://github.com/sgl-project/sglang/pull/40628,
sgl-project/sglang,39461,[Router] Abort the engine when a client disconnects mid-request,Kangyan-Zhou,2026-09-22T04:35:57Z,main,2032f3a0716f641bf1e88019adf8dc223052cee3,https://github.com/sgl-project/sglang/pull/39461,
sgl-project/sglang,36120,[NPU] Fix xgrammar apply_vocab_mask device dispatch to use torch.ops.npu,zhujianwei-ops,2026-09-22T04:34:16Z,main,a9f02b0fa48be1642ad27960d6ee244ed2e8c056,https://github.com/sgl-project/sglang/pull/36120,
sgl-project/sglang,40659,[Benchmark] Optionally clear HiCache storage between cases,metamergebot,2026-09-22T04:31:22Z,main,877a293d6d2d9d7266467f7253aea8ec7b970203,https://github.com/sgl-project/sglang/pull/40659,
sgl-project/sglang,39317,[AMD] [GLM-5.3-Flash Day 0] Honor fused and per-expert names in quark `exclude`,Raiden-Makoto,2026-09-22T04:26:43Z,main,e1daf68304ea823956ce97603e3f9b43565c0ba9,https://github.com/sgl-project/sglang/pull/39317,
sgl-project/sglang,40500,[PD] Pack draft KV head slices for DCP transfers,kpham-sgl,2026-09-22T04:11:28Z,main,018b73c7a06261bd70a77ddfc402c736bcb2333d,https://github.com/sgl-project/sglang/pull/40500,
sgl-project/sglang,38546,[AMD] [GLM-5.3-Flash Day 0] Enable FP8 and Quark MXFP4 MoE on gfx950,Raiden-Makoto,2026-09-22T04:07:38Z,main,b44e2486824e2fbde9cbcb09adad10bce5593c16,https://github.com/sgl-project/sglang/pull/38546,
sgl-project/sglang,39486,perf(engine): avoid timed waits for Engine responses,jthomson04,2026-09-22T03:42:04Z,main,15ba54bd5d31469908ed32d92cf9473e95bde5e6,https://github.com/sgl-project/sglang/pull/39486,
sgl-project/sglang,35504,fix(moe): support Llama4 NVFP4 router input weights on SM120,janbernloehr,2026-09-22T03:18:11Z,main,56fee88e236b7666b87adeceecfb14230a482f61,https://github.com/sgl-project/sglang/pull/35504,
sgl-project/sglang,40292,[sgl-router] refactor - SLO ordering for bucket selection,sherlockwu,2026-09-22T03:16:11Z,main,59a723ef1e0032130a3eb48f43b6a6bf56b40251,https://github.com/sgl-project/sglang/pull/40292,
sgl-project/sglang,40604,"[sgl-router] Fix readiness, IPv6 discovery, logging, and model validation",sherlockwu,2026-09-22T03:13:06Z,main,27f796ca6c40e9a0b944dd7f9cdc241937dcd6a0,https://github.com/sgl-project/sglang/pull/40604,
